date,21dma,200dma,hy_signal,hy_signal_cross,hy_signal_slope,slope,BAMLH0A0HYM2
2008-08-13,7.893809523809523,6.94595,0.0,0.0,0.0,0.0278831168831169,8.09
2008-08-14,7.898571428571429,6.9632000000000005,0.0,0.0,0.0,0.03235064935064935,8.11
2008-08-15,7.9142857142857155,6.98,0.0,0.0,0.0,0.033675324675324664,8.12
2008-08-18,7.938095238095237,6.9963,0.0,0.0,0.0,0.0335064935064935,8.17
2008-08-19,7.969047619047619,7.0123500000000005,0.0,0.0,0.0,0.03218181818181818,8.23
2008-08-20,8.002380952380953,7.02875,0.0,0.0,0.0,0.031207792207792212,8.3
2008-08-21,8.041904761904762,7.04485,0.0,0.0,0.0,0.027194805194805185,8.29
2008-08-22,8.07095238095238,7.0609,0.0,0.0,0.0,0.024155844155844146,8.25
2008-08-25,8.105238095238096,7.07625,0.0,0.0,0.0,0.02066233766233765,8.32
2008-08-26,8.130476190476191,7.091,0.0,0.0,0.0,0.01894805194805194,8.32
2008-08-27,8.155238095238095,7.10465,0.0,0.0,0.0,0.017233766233766226,8.34
2008-08-28,8.178095238095239,7.11755,0.0,0.0,0.0,0.014051948051948024,8.29
2008-08-29,8.191428571428572,7.1296,0.0,0.0,0.0,0.012831168831168796,8.28
2008-08-31,8.202380952380953,7.14205,0.0,0.0,0.0,0.01414285714285711,8.36
2008-09-01,8.212857142857143,7.15485,0.0,0.0,0.0,0.01529870129870127,8.36
2008-09-02,8.227619047619047,7.16735,0.0,0.0,0.0,0.016519480519480486,8.42
2008-09-03,8.248095238095239,7.180350000000001,0.0,0.0,0.0,0.017259740259740242,8.48
2008-09-04,8.266666666666666,7.194450000000001,0.0,0.0,0.0,0.01992207792207792,8.55
2008-09-05,8.286190476190475,7.20855,0.0,0.0,0.0,0.021792207792207814,8.55
2008-09-08,8.304761904761905,7.2221,0.0,0.0,0.0,0.020961038961039,8.46
2008-09-09,8.324761904761905,7.235650000000001,0.0,0.0,0.0,0.02110389610389613,8.53
2008-09-10,8.346666666666668,7.24895,0.0,0.0,0.0,0.020675324675324708,8.55
2008-09-11,8.37095238095238,7.2627500000000005,0.0,0.0,0.0,0.02084415584415586,8.62
2008-09-12,8.39095238095238,7.276549999999999,0.0,0.0,0.0,0.019454545454545447,8.54
2008-09-15,8.432857142857143,7.29365,0.0,0.0,0.0,0.024857142857142855,9.05
2008-09-16,8.483333333333334,7.31235,0.0,0.0,0.0,0.03309090909090909,9.29
2008-09-17,8.547142857142857,7.33215,0.0,0.0,0.0,0.045493506493506516,9.64
2008-09-18,8.620476190476191,7.35325,0.0,0.0,0.0,0.058480519480519494,9.83
2008-09-19,8.666190476190476,7.3713999999999995,0.0,0.0,0.0,0.06084415584415586,9.21
2008-09-22,8.708571428571428,7.38975,0.0,0.0,0.0,0.06296103896103901,9.21
2008-09-23,8.75952380952381,7.4088,0.0,0.0,0.0,0.06625974025974031,9.39
2008-09-24,8.822857142857142,7.42885,0.0,0.0,0.0,0.07209090909090914,9.67
2008-09-25,8.89809523809524,7.449649999999999,0.0,0.0,0.0,0.0780779220779221,9.87
2008-09-26,8.991904761904761,7.47195,0.0,0.0,0.0,0.08680519480519482,10.25
2008-09-29,9.105714285714287,7.4973,0.0,0.0,0.0,0.10061038961038961,10.75
2008-09-30,9.229523809523808,7.5238499999999995,0.0,0.0,0.0,0.11403896103896105,10.96
2008-10-01,9.363809523809525,7.552099999999999,0.0,0.0,0.0,0.12858441558441558,11.24
2008-10-02,9.531428571428572,7.5839,0.0,0.0,0.0,0.1501948051948052,12.0
2008-10-03,9.707142857142859,7.6164499999999995,0.0,0.0,0.0,0.1713506493506494,12.24
2008-10-06,9.922380952380953,7.652200000000001,0.0,0.0,0.0,0.19849350649350647,13.07
2008-10-07,10.147142857142857,7.6876,0.0,0.0,0.0,0.21990909090909094,13.18
2008-10-08,10.384285714285713,7.7242999999999995,0.0,0.0,0.0,0.2404805194805195,13.51
2008-10-09,10.63952380952381,7.76205,0.0,0.0,0.0,0.26006493506493505,13.91
2008-10-10,10.960476190476191,7.8065999999999995,0.0,0.0,0.0,0.29251948051948057,15.36
2008-10-13,11.286190476190477,7.85095,0.0,0.0,0.0,0.3153376623376623,15.38
2008-10-14,11.545714285714286,7.8898,0.0,0.0,0.0,0.32512987012987016,14.5
2008-10-15,11.824285714285715,7.932349999999999,0.0,0.0,0.0,0.3395844155844156,15.14
2008-10-16,12.113809523809524,7.97755,0.0,0.0,0.0,0.35897402597402595,15.72
2008-10-17,12.405238095238095,8.024,0.0,0.0,0.0,0.37616883116883115,15.95
2008-10-20,12.717142857142857,8.069099999999999,0.0,0.0,0.0,0.37409090909090914,15.76
2008-10-21,13.034285714285716,8.1143,0.0,0.0,0.0,0.36493506493506495,15.87
2008-10-22,13.35142857142857,8.159600000000001,0.0,0.0,0.0,0.35203896103896104,16.05
2008-10-23,13.66904761904762,8.2061,0.0,0.0,0.0,0.3382597402597403,16.34
2008-10-24,13.993809523809524,8.254299999999999,0.0,0.0,0.0,0.32322077922077924,16.69
2008-10-27,14.306190476190476,8.3014,0.0,0.0,0.0,0.3063116883116883,16.81
2008-10-28,14.588095238095239,8.34735,0.0,0.0,0.0,0.2862077922077922,16.67
2008-10-29,14.838095238095237,8.392800000000001,0.0,0.0,0.0,0.2554415584415584,16.21
2008-10-30,15.060476190476193,8.4374,0.0,0.0,0.0,0.217961038961039,15.91
2008-10-31,15.259047619047621,8.4831,0.0,0.0,0.0,0.1886493506493507,16.17
2008-11-03,15.451904761904762,8.5303,0.0,0.0,0.0,0.15890909090909094,16.29
2008-11-04,15.600000000000001,8.577300000000001,0.0,0.0,0.0,0.13433766233766237,16.18
2008-11-05,15.738095238095237,8.62295,0.0,0.0,0.0,0.10600000000000001,16.08
2008-11-06,15.865714285714287,8.6691,0.0,0.0,0.0,0.08003896103896103,16.19
2008-11-07,15.979999999999999,8.716050000000001,0.0,0.0,0.0,0.057870129870129856,16.31
2008-11-10,16.027142857142856,8.7625,0.0,0.0,0.0,0.053818181818181814,16.35
2008-11-11,16.073809523809523,8.80885,0.0,0.0,0.0,0.04889610389610388,16.36
2008-11-12,16.185238095238095,8.85755,0.0,0.0,0.0,0.036363636363636355,16.84
2008-11-13,16.276666666666667,8.906600000000001,0.0,0.0,0.0,0.03279220779220776,17.06
2008-11-14,16.345238095238095,8.955549999999999,0.0,0.0,0.0,0.036311688311688295,17.16
2008-11-17,16.415714285714287,9.00585,0.0,0.0,0.0,0.044753246753246725,17.43
2008-11-18,16.52047619047619,9.05875,0.0,0.0,0.0,0.055441558441558424,17.96
2008-11-19,16.650952380952383,9.115549999999999,0.0,0.0,0.0,0.07328571428571425,18.61
2008-11-20,16.814285714285713,9.176449999999999,0.0,0.0,0.0,0.10144155844155842,19.48
2008-11-21,16.984761904761903,9.239550000000001,0.0,0.0,0.0,0.13499999999999998,19.92
2008-11-24,17.136190476190478,9.30265,0.0,0.0,0.0,0.16825974025974028,19.87
2008-11-25,17.281428571428574,9.3657,0.0,0.0,0.0,0.19897402597402597,19.86
2008-11-26,17.428571428571427,9.42775,0.0,0.0,0.0,0.2224285714285715,19.76
2008-11-27,17.598095238095237,9.48985,0.0,0.0,0.0,0.2354285714285715,19.77
2008-11-28,17.782380952380954,9.5527,0.0,0.0,0.0,0.23964935064935072,19.78
2008-11-30,17.959047619047617,9.61625,0.0,0.0,0.0,0.24385714285714288,19.88
2008-12-01,18.145238095238096,9.68135,0.0,0.0,0.0,0.24911688311688315,20.2
2008-12-02,18.336190476190477,9.74545,0.0,0.0,0.0,0.24759740259740262,20.19
2008-12-03,18.541428571428572,9.809050000000001,0.0,0.0,0.0,0.24203896103896103,20.39
2008-12-04,18.74857142857143,9.873000000000001,0.0,0.0,0.0,0.23440259740259736,20.54
2008-12-05,18.959523809523812,9.937899999999999,0.0,0.0,0.0,0.22542857142857142,20.74
2008-12-08,19.162857142857142,10.0026,0.0,0.0,0.0,0.20971428571428574,20.62
2008-12-09,19.364285714285714,10.066600000000001,0.0,0.0,0.0,0.18820779220779218,20.59
2008-12-10,19.54619047619048,10.1303,0.0,0.0,0.0,0.168974025974026,20.66
2008-12-11,19.73,10.1945,0.0,0.0,0.0,0.1512987012987013,20.92
2008-12-12,19.927142857142854,10.26125,0.0,0.0,0.0,0.13497402597402597,21.3
2008-12-15,20.136190476190475,10.3297,0.0,0.0,0.0,0.12388311688311687,21.82
2008-12-16,20.301904761904762,10.39555,0.0,0.0,0.0,0.10972727272727274,21.44
2008-12-17,20.418571428571425,10.45895,0.0,0.0,0.0,0.09540259740259738,21.06
2008-12-18,20.47761904761905,10.519449999999999,0.0,0.0,0.0,0.08590909090909087,20.72
2008-12-19,20.50190476190476,10.57965,0.0,0.0,0.0,0.0773246753246753,20.43
2008-12-22,20.51666666666667,10.638700000000002,0.0,0.0,0.0,0.0641168831168831,20.18
2008-12-23,20.514761904761905,10.695800000000002,0.0,0.0,0.0,0.04568831168831166,19.82
2008-12-24,20.516190476190474,10.7544,0.0,0.0,0.0,0.025493506493506485,19.79
