None,date,close,21d_vol,200d_vol,market_vol_cross,21d,200d,market_cross
4764,2005-02-15,1210.12,0.006051492453388101,0.006575102895086478,1.0,1187.9714285714285,1138.6082500000002,1.0
4763,2005-02-16,1210.34,0.005721570084526938,0.00654587669668618,1.0,1188.6552380952382,1139.0725,1.0
4762,2005-02-17,1200.75,0.005590922715747988,0.0065716310525531915,1.0,1189.422857142857,1139.4785000000002,1.0
4761,2005-02-18,1201.59,0.005244990040314043,0.006570907875187282,1.0,1190.669523809524,1139.8788,1.0
4760,2005-02-22,1184.16,0.0060673925157119874,0.006636775476559219,1.0,1191.4452380952382,1140.22965,1.0
4759,2005-02-23,1190.8,0.006078807223789864,0.006570770302685453,1.0,1192.7333333333331,1140.69015,1.0
4758,2005-02-24,1200.2,0.006227835646496083,0.006545098138979326,1.0,1194.2471428571428,1141.25555,1.0
4757,2005-02-25,1211.37,0.006426191074271867,0.006555042321398629,1.0,1196.0233333333333,1141.8351499999999,1.0
4756,2005-02-28,1203.6,0.00665324618600885,0.006572820641688407,1.0,1197.4066666666668,1142.3667500000001,1.0
4755,2005-03-01,1210.41,0.006659446163386671,0.00658241426638882,1.0,1199.2661904761906,1142.9366,1.0
4754,2005-03-02,1210.08,0.006479295320040327,0.006582116422015549,1.0,1200.638095238095,1143.5085000000001,1.0
4753,2005-03-03,1210.47,0.006346456586243682,0.0065343554035286544,1.0,1201.6409523809523,1144.1403500000001,1.0
4752,2005-03-04,1222.12,0.006612738771087363,0.0065506702733246994,1.0,1203.0185714285715,1144.7935,1.0
4751,2005-03-07,1225.31,0.0065576233115265765,0.006548428105007173,1.0,1204.7052380952382,1145.4766499999998,1.0
4750,2005-03-08,1219.43,0.0063040251684945495,0.006559553914931557,1.0,1205.4861904761906,1146.12785,1.0
4749,2005-03-09,1207.01,0.006731425237053013,0.006599209151982648,1.0,1205.7380952380952,1146.6951,1.0
4748,2005-03-10,1209.25,0.006740857694508095,0.006599368597756848,1.0,1206.0690476190478,1147.2642999999998,1.0
4747,2005-03-11,1200.08,0.006678176045770091,0.006531737679080346,1.0,1206.4542857142858,1147.69945,1.0
4746,2005-03-14,1206.83,0.00672591311869561,0.006541562100948839,1.0,1206.921904761905,1148.1589,1.0
4745,2005-03-15,1197.75,0.006765574807146001,0.006554793160079182,1.0,1206.5623809523809,1148.54125,1.0
4744,2005-03-16,1188.07,0.0069708394966313805,0.006581675373535772,1.0,1205.7019047619046,1148.8782,1.0
4743,2005-03-17,1190.21,0.00693535401244425,0.006582528350423284,1.0,1204.7538095238094,1149.22325,1.0
4742,2005-03-18,1189.65,0.006932243846659995,0.006579113654531341,1.0,1203.7685714285715,1149.54655,1.0
4741,2005-03-21,1183.78,0.006807405571190634,0.006566703474326498,1.0,1202.9604761904761,1149.8822499999999,1.0
4740,2005-03-22,1171.71,0.007109183590729778,0.006599327616381641,1.0,1201.537619047619,1150.1283,1.0
4739,2005-03-23,1172.53,0.0064161708001939915,0.00650537536855357,1.0,1200.9838095238094,1150.2888500000001,1.0
4738,2005-03-24,1171.42,0.006264154493052827,0.006505058330260637,1.0,1200.0609523809524,1150.4350499999998,1.0
4737,2005-03-28,1174.28,0.005995983901724605,0.006470628361583879,1.0,1198.8266666666666,1150.6498,1.0
4736,2005-03-29,1165.36,0.005668607049753625,0.006486678582288604,1.0,1196.6357142857141,1150.79425,1.0
4735,2005-03-30,1181.41,0.00649333598099605,0.00651785252752353,0.0,1195.5790476190477,1151.07485,1.0
4734,2005-03-31,1180.59,0.006319714354483526,0.006505523010835223,1.0,1194.1590476190474,1151.3177500000002,1.0
4733,2005-04-01,1172.92,0.006420634239877809,0.006522345921339029,1.0,1192.3895238095238,1151.51455,1.0
