,date,mfp,d10,d1,d10-d1
354,2020-02-29,qGrowth,-0.14571921772951837,-0.21380609835740788,0.0680868806278895
355,2020-02-29,qLV,-0.13531597639495116,-0.17005392501046512,0.034737948615513964
356,2020-02-29,qMO,-0.12168997852226268,-0.17475253900902696,0.053062560486764276
357,2020-02-29,qQuality,-0.07891559173037714,-0.21836804386045525,0.13945245213007812
358,2020-02-29,qSentiment,-0.21299212129285444,-0.14062872267785156,-0.07236339861500288
359,2020-02-29,qValue,-0.22482056108313644,-0.12424937465960036,-0.10057118642353609
360,2020-03-31,qGrowth,0.14984468719782199,0.12627488852699456,0.023569798670827424
361,2020-03-31,qLV,0.07202641760298951,0.20483380494259731,-0.13280738733960779
362,2020-03-31,qMO,0.12287116673981495,0.16036037941111528,-0.03748921267130033
363,2020-03-31,qQuality,0.11736094971107776,0.1173544297551542,6.519955923559029e-06
364,2020-03-31,qSentiment,0.09280794479070806,0.13979066191118966,-0.046982717120481604
365,2020-03-31,qValue,0.1595818677749147,0.17018235083631206,-0.010600483061397353
366,2020-04-30,qGrowth,0.1003507359229921,0.0256264148293275,0.0747243210936646
367,2020-04-30,qLV,0.0208598948220946,0.08178003366769127,-0.06092013884559666
368,2020-04-30,qMO,0.09013573132657829,0.037168062679733396,0.05296766864684489
369,2020-04-30,qQuality,0.06881042571764574,0.053373391702629044,0.015437034015016698
370,2020-04-30,qSentiment,0.024028753412714977,0.10768064465651686,-0.08365189124380189
371,2020-04-30,qValue,0.03627473974815022,0.13892688480489557,-0.10265214505674534
372,2020-05-31,qGrowth,0.026085956838769644,0.03219107861572499,-0.006105121776955345
373,2020-05-31,qLV,-0.006615823167109653,0.06763466564784838,-0.07425048881495803
374,2020-05-31,qMO,0.06789835202154608,0.036794616087334184,0.031103735934211896
375,2020-05-31,qQuality,0.021134665179572385,0.05355895072153807,-0.03242428554196569
376,2020-05-31,qSentiment,0.04308417214255655,0.037670611642140084,0.005413560500416463
377,2020-05-31,qValue,0.00994411388664671,0.06840566405063772,-0.05846155016399101
378,2020-06-30,qGrowth,0.07004217481634596,0.019049773716637047,0.050992401099708914
379,2020-06-30,qLV,0.05467630973105656,0.04067262308089895,0.01400368665015761
380,2020-06-30,qMO,0.0742504056240631,0.032588712387054714,0.041661693237008385
381,2020-06-30,qQuality,0.06528456975831701,0.04899925914196115,0.01628531061635586
382,2020-06-30,qSentiment,0.036607150052050556,0.048937637521741024,-0.012330487469690468
383,2020-06-30,qValue,0.02052744342157399,0.08821309120765738,-0.0676856477860834
384,2020-07-31,qGrowth,0.050681617669781874,0.06485023030954583,-0.014168612639763954
385,2020-07-31,qLV,0.0252948871140151,0.07851560566031707,-0.05322071854630196
386,2020-07-31,qMO,0.05603413426150117,0.07365277314321345,-0.01761863888171228
387,2020-07-31,qQuality,0.04493291294996909,0.0362990028530806,0.008633910096888485
388,2020-07-31,qSentiment,0.02994832786892636,0.05410636544719322,-0.024158037578266862
389,2020-07-31,qValue,0.02940498102909277,0.07939559868851492,-0.04999061765942216
390,2020-08-31,qGrowth,-0.024663863196004162,-0.056909923039383664,0.0322460598433795
391,2020-08-31,qLV,-0.014841864339076609,-0.02364423516758426,0.00880237082850765
392,2020-08-31,qMO,-0.01818278100718164,-0.04869993660472293,0.03051715559754129
393,2020-08-31,qQuality,-0.020855768928510942,-0.02053887129566851,-0.00031689763284243125
394,2020-08-31,qSentiment,-0.05304804237582769,-0.01730848247324715,-0.03573955990258054
395,2020-08-31,qValue,-0.03664759705936509,-0.0005621213870053368,-0.03608547567235976
396,2020-09-30,qGrowth,-0.010138918544458723,-0.010133379994032486,-5.538550426236952e-06
397,2020-09-30,qLV,-0.033355524910444696,0.014049753320162721,-0.04740527823060742
398,2020-09-30,qMO,-0.029081585916183237,0.000538482774045663,-0.0296200686902289
399,2020-09-30,qQuality,-0.02677451814123358,0.015716005679990215,-0.0424905238212238
400,2020-09-30,qSentiment,0.012970865575915539,-0.006596005770118309,0.019566871346033847
401,2020-09-30,qValue,-0.024243246620996643,-0.014218408256645547,-0.010024838364351096
